date,event,Nice,Cagnes
2022-04-17,Dimanches malins Cagnes-sur-Mer,False,True
2022-05-22,Dimanches malins Cagnes-sur-Mer,False,True
2023-04-23,Dimanches malins Cagnes-sur-Mer,False,True
2023-05-14,Dimanches malins Cagnes-sur-Mer,False,True
2024-04-14,Dimanches malins Cagnes-sur-Mer,False,True
2024-05-19,Dimanches malins Cagnes-sur-Mer,False,True
2025-05-18,Dimanches malins Cagnes-sur-Mer,False,True
2022-10-30,Marathon Nice-Cannes,True,True
2023-11-05,Marathon Nice-Cannes,True,True
2024-11-03,Marathon Nice-Cannes,True,True
2025-11-09,Marathon Nice-Cannes,True,True
2024-07-20, Tour de France Nice,True,False
2024-07-05, Warm-up Etape du tour Nice,True,False
2024-07-06, Etape du tour Nice,True,False
2024-07-20, Tour de France Nice,True,False
2024-07-21, Tour de France Nice,True,False
2022-06-25,Ironman Nice,True,False
2023-06-24,Ironman Nice,True,False
2024-06-15,Ironman Nice,True,False
2025-06-28,Ironman Nice,True,False
2023-09-10,Ironman World Championship Nice,True,False
2024-09-22,Ironman World Championship Nice,True,False
2025-09-14,Ironman World Championship Nice,True,False
2022-06-05,TriGames Cagnes-sur-Mer,False,True